,weathersit,day,dteday,temp_celsius,windspeed_kh,atemp,hum,season,yr,mnth,holiday,weekday,workingday,casual,registered,cnt
0,2,1,01/01/2011,14.110847,10.749882000000001,0.363625,80.5833,1,0,1,0,6,0,331,654,985
1,2,2,02/01/2011,14.902598000000001,16.652113,0.35373899999999997,69.6087,1,0,1,0,0,0,131,670,801
2,1,3,03/01/2011,8.050924,16.636703,0.189405,43.7273,1,0,1,0,1,1,120,1229,1349
3,1,4,04/01/2011,8.2,10.739832,0.21212199999999998,59.0435,1,0,1,0,2,1,108,1454,1562
4,1,5,05/01/2011,9.305237,12.5223,0.22926999999999997,43.6957,1,0,1,0,3,1,82,1518,1600
5,1,6,06/01/2011,8.378267999999998,6.0008684,0.23320900000000003,51.8261,1,0,1,0,4,1,88,1518,1606
6,2,7,07/01/2011,8.057402,11.304642,0.208839,49.8696,1,0,1,0,5,1,148,1362,1510
7,2,8,08/01/2011,6.765,17.875868,0.162254,53.5833,1,0,1,0,6,0,68,891,959
8,1,9,09/01/2011,5.671653,24.25065,0.116175,43.4167,1,0,1,0,0,0,54,768,822
9,1,10,10/01/2011,6.184153,14.958889000000001,0.15088800000000002,48.2917,1,0,1,0,1,1,41,1280,1321
10,2,11,11/01/2011,6.9327309999999995,8.182844000000001,0.19146400000000002,68.6364,1,0,1,0,2,1,43,1220,1263
11,1,12,12/01/2011,7.081807,20.410009,0.160473,59.9545,1,0,1,0,3,1,25,1137,1162
12,1,13,13/01/2011,6.765,20.167,0.150883,47.0417,1,0,1,0,4,1,38,1368,1406
13,1,14,14/01/2011,6.59567,8.478716,0.188413,53.7826,1,0,1,0,5,1,54,1367,1421
14,2,15,15/01/2011,9.566653,10.583521000000001,0.248112,49.875,1,0,1,0,6,0,222,1026,1248
15,1,16,16/01/2011,9.498347,12.625011,0.234217,48.375,1,0,1,0,0,0,251,953,1204
16,2,17,17/01/2011,7.209153,12.999139,0.176771,53.75,1,0,1,1,1,0,117,883,1000
17,2,18,18/01/2011,8.883347,9.833925,0.23233299999999998,86.1667,1,0,1,0,2,1,9,674,683
18,2,19,19/01/2011,11.979134,13.957239000000001,0.29842199999999997,74.1739,1,0,1,0,3,1,78,1572,1650
19,2,20,20/01/2011,10.728347,13.125568,0.25505,53.8333,1,0,1,0,4,1,83,1844,1927
20,1,21,21/01/2011,7.2775,23.667214,0.157833,45.7083,1,0,1,0,5,1,75,1468,1543
21,1,22,22/01/2011,2.4243464,11.521989999999999,0.0790696,40.0,1,0,1,0,6,0,93,888,981
22,1,23,23/01/2011,3.9573897000000002,16.5222,0.09883910000000001,43.6522,1,0,1,0,0,0,150,836,986
23,1,24,24/01/2011,3.9930432999999996,10.60811,0.11793,49.1739,1,0,1,0,1,1,86,1330,1416
24,2,25,25/01/2011,9.162598,8.696332,0.234526,61.6957,1,0,1,0,2,1,186,1799,1985
25,3,26,26/01/2011,8.9175,19.68795,0.2036,86.25,1,0,1,0,3,1,34,472,506
26,1,27,27/01/2011,7.995,7.627078999999999,0.2197,68.75,1,0,1,0,4,1,15,416,431
27,2,28,28/01/2011,8.342597999999999,8.2611,0.22331700000000002,79.3043,1,0,1,0,5,1,38,1129,1167
28,1,29,29/01/2011,8.057402,9.739455,0.212126,65.1739,1,0,1,0,6,0,123,975,1098
29,1,30,30/01/2011,8.877402,4.9568342,0.250322,72.2174,1,0,1,0,0,0,140,956,1096
30,2,31,31/01/2011,7.414153,12.541864,0.18625,60.375,1,0,1,0,1,1,42,1459,1501
31,2,32,01/02/2011,7.879134,3.565271,0.23453000000000002,82.9565,1,0,2,0,2,1,47,1313,1360
32,2,33,02/02/2011,10.66,17.708636,0.254417,77.5417,1,0,2,0,3,1,72,1454,1526
33,1,34,03/02/2011,7.665236999999999,18.609384,0.177878,43.7826,1,0,2,0,4,1,61,1489,1550
34,2,35,04/02/2011,8.663464,8.565213,0.22858699999999998,58.5217,1,0,2,0,5,1,88,1620,1708
35,2,36,05/02/2011,9.566653,10.792292999999999,0.243058,92.9167,1,0,2,0,6,0,100,905,1005
36,1,37,06/02/2011,11.719153,9.5006,0.291671,56.8333,1,0,2,0,0,0,354,1269,1623
37,1,38,07/02/2011,11.138347,3.0423561,0.303658,73.8333,1,0,2,0,1,1,120,1592,1712
38,1,39,08/02/2011,9.054153,24.25065,0.198246,53.7917,1,0,2,0,2,1,64,1466,1530
39,2,40,09/02/2011,5.526103,12.652213,0.144283,49.4783,1,0,2,0,3,1,53,1552,1605
40,1,41,10/02/2011,5.918268,14.869645000000002,0.14954800000000001,43.7391,1,0,2,0,4,1,47,1491,1538
41,1,42,11/02/2011,7.752731,7.27285,0.213509,50.6364,1,0,2,0,5,1,149,1597,1746
42,1,43,12/02/2011,9.1225,13.625589000000002,0.232954,54.4167,1,0,2,0,6,0,288,1184,1472
43,1,44,13/02/2011,12.977402,17.479160999999998,0.324113,45.7391,1,0,2,0,0,0,397,1192,1589
44,1,45,14/02/2011,17.015,27.999836,0.39835,37.5833,1,0,2,0,1,1,208,1705,1913
45,1,46,15/02/2011,10.909567,19.522057999999998,0.254274,31.4348,1,0,2,0,2,1,140,1675,1815
46,1,47,16/02/2011,13.048701,16.869997,0.3162,42.3478,1,0,2,0,3,1,218,1897,2115
47,1,48,17/02/2011,17.869153,15.416967999999999,0.428658,50.5,1,0,2,0,4,1,259,2216,2475
48,1,49,18/02/2011,21.388347,17.749975,0.511983,51.6667,1,0,2,0,5,1,579,2348,2927
49,1,50,19/02/2011,16.365847,34.000021000000004,0.391404,18.7917,1,0,2,0,6,0,532,1103,1635
50,1,51,20/02/2011,11.693897,14.956745000000002,0.27733,40.7826,1,0,2,0,0,0,639,1173,1812
51,2,52,21/02/2011,12.436653,20.625682,0.284075,60.5,1,0,2,1,1,0,195,912,1107
52,1,53,22/02/2011,7.471102,13.110760999999998,0.186033,57.7778,1,0,2,0,2,1,74,1376,1450
53,1,54,23/02/2011,9.091299000000001,6.305571,0.24571700000000002,42.3043,1,0,2,0,3,1,139,1778,1917
54,2,55,24/02/2011,12.121732000000002,16.783232,0.289191,69.7391,1,0,2,0,4,1,100,1707,1807
55,2,56,25/02/2011,14.938267999999999,23.218113,0.350461,71.2174,1,0,2,0,5,1,120,1341,1461
56,1,57,26/02/2011,11.5825,12.500257000000001,0.282192,53.7917,1,0,2,0,6,0,424,1545,1969
57,1,58,27/02/2011,14.082598,8.391616,0.351109,68.0,1,0,2,0,0,0,694,1708,2402
58,2,59,28/02/2011,16.698193,19.408962,0.400118,87.6364,1,0,2,0,1,1,81,1365,1446
59,1,60,01/03/2011,10.933347,14.500475,0.263879,53.5,1,0,3,0,2,1,137,1714,1851
60,1,61,02/03/2011,13.735,20.624810999999998,0.320071,44.9583,1,0,3,0,3,1,231,1903,2134
61,1,62,03/03/2011,8.131653,15.125518,0.200133,31.8333,1,0,3,0,4,1,123,1562,1685
62,2,63,04/03/2011,10.728347,13.624182000000001,0.255679,61.0417,1,0,3,0,5,1,214,1730,1944
63,2,64,05/03/2011,15.750847,16.875357,0.378779,78.9167,1,0,3,0,6,0,640,1437,2077
64,2,65,06/03/2011,15.437401999999999,23.000229,0.366252,94.8261,1,0,3,0,0,0,114,491,605
65,1,66,07/03/2011,10.731299,22.870584,0.238461,55.1304,1,0,3,0,1,1,244,1628,1872
66,1,67,08/03/2011,11.9925,8.08355,0.3024,42.0833,1,0,3,0,2,1,316,1817,2133
67,2,68,09/03/2011,12.129153,14.75005,0.286608,77.5417,1,0,3,0,3,1,191,1700,1891
68,3,69,10/03/2011,15.952731,17.545759,0.385668,0.0,1,0,3,0,4,1,46,577,623
69,2,70,11/03/2011,12.977402,15.608989999999999,0.305,64.9565,1,0,3,0,5,1,247,1730,1977
70,1,71,12/03/2011,13.495847,14.791925,0.32575,59.4583,1,0,3,0,6,0,724,1408,2132
71,1,72,13/03/2011,15.758268,18.130468,0.380091,52.7391,1,0,3,0,0,0,982,1435,2417
72,1,73,14/03/2011,13.333897,9.174042,0.332,49.6957,1,0,3,0,1,1,359,1687,2046
73,2,74,15/03/2011,13.013031,12.348703,0.318178,65.5652,1,0,3,0,2,1,289,1767,2056
74,2,75,16/03/2011,14.973897000000001,13.608839000000001,0.36693000000000003,77.6522,1,0,3,0,3,1,321,1871,2192
75,1,76,17/03/2011,17.015,14.041792999999998,0.410333,60.2917,1,0,3,0,4,1,424,2320,2744
76,1,77,18/03/2011,22.14,15.478139,0.5270090000000001,52.5217,1,0,3,0,5,1,884,2355,3239
77,1,78,19/03/2011,19.3725,24.667189,0.466525,37.9167,1,0,3,0,6,0,1424,1693,3117
78,1,79,20/03/2011,13.6325,13.917307000000001,0.32575,47.375,1,0,3,0,0,0,1047,1424,2471
79,2,80,21/03/2011,17.647835,19.348461,0.409735,73.7391,2,0,3,0,1,1,401,1676,2077
80,1,81,22/03/2011,18.108347,15.12525,0.44064200000000003,62.4583,2,0,3,0,2,1,460,2243,2703
81,2,82,23/03/2011,14.225237,15.695487,0.337939,83.9565,2,0,3,0,3,1,203,1918,2121
82,2,83,24/03/2011,11.685,16.333729,0.270833,80.5833,2,0,3,0,4,1,166,1699,1865
83,1,84,25/03/2011,10.830847,15.458575,0.256312,49.5,2,0,3,0,5,1,300,1910,2210
84,1,85,26/03/2011,10.899153,14.041257,0.257571,39.4167,2,0,3,0,6,0,981,1515,2496
85,2,86,27/03/2011,10.374763,12.3481,0.250339,49.3913,2,0,3,0,0,0,472,1221,1693
86,1,87,28/03/2011,10.838268,14.217668,0.25757399999999997,30.2174,2,0,3,0,1,1,222,1806,2028
87,1,88,29/03/2011,12.4025,15.208732000000001,0.292908,31.4167,2,0,3,0,2,1,317,2108,2425
88,2,89,30/03/2011,12.3,11.583496,0.29735,64.6667,2,0,3,0,3,1,168,1368,1536
89,3,90,31/03/2011,11.001653,14.582282000000001,0.257575,91.8333,2,0,3,0,4,1,179,1506,1685
90,2,91,01/04/2011,12.3,17.333436,0.283454,68.625,2,0,4,0,5,1,307,1920,2227
91,2,92,02/04/2011,12.915,13.208782000000001,0.315637,65.375,2,0,4,0,6,0,898,1354,2252
92,1,93,03/04/2011,15.511652999999999,12.208271,0.378767,48.0,2,0,4,0,0,0,1651,1598,3249
93,1,94,04/04/2011,23.506653,25.833257,0.542929,42.625,2,0,4,0,1,1,734,2381,3115
94,2,95,05/04/2011,16.980847,26.000489,0.39835,64.2083,2,0,4,0,2,1,167,1628,1795
95,1,96,06/04/2011,16.024153,17.625221,0.387608,47.0833,2,0,4,0,3,1,413,2395,2808
96,1,97,07/04/2011,17.9375,10.874903999999999,0.433696,60.2917,2,0,4,0,4,1,571,2570,3141
97,2,98,08/04/2011,13.769153,15.208464000000001,0.324479,83.625,2,0,4,0,5,1,172,1299,1471
98,2,99,09/04/2011,14.0425,8.916561,0.34152899999999997,87.75,2,0,4,0,6,0,879,1576,2455
99,2,100,10/04/2011,17.493347,9.833389,0.426737,85.75,2,0,4,0,0,0,1188,1707,2895
100,2,101,11/04/2011,24.421732000000002,21.739758,0.565217,71.6956,2,0,4,0,1,1,855,2493,3348
101,2,102,12/04/2011,20.6025,18.416892999999998,0.493054,73.9167,2,0,4,0,2,1,257,1777,2034
102,2,103,13/04/2011,16.9125,16.791339,0.417283,81.9167,2,0,4,0,3,1,209,1953,2162
103,1,104,14/04/2011,19.1675,7.4169,0.462742,54.0417,2,0,4,0,4,1,529,2738,3267
104,1,105,15/04/2011,18.313347,15.167125,0.441913,67.125,2,0,4,1,5,0,642,2484,3126
105,3,106,16/04/2011,17.664153,22.834135999999997,0.425492,88.8333,2,0,4,0,6,0,121,674,795
106,1,107,17/04/2011,18.723347,20.334232,0.445696,47.9583,2,0,4,0,0,0,1558,2186,3744
107,1,108,18/04/2011,21.0125,10.958989,0.503146,54.25,2,0,4,0,1,1,669,2760,3429
108,2,109,19/04/2011,20.739152999999998,10.584057000000001,0.48925799999999997,66.5833,2,0,4,0,2,1,409,2795,3204
109,1,110,20/04/2011,24.395,16.208975,0.564392,61.4167,2,0,4,0,3,1,613,3331,3944
110,1,111,21/04/2011,18.825847,21.792285999999997,0.453892,40.7083,2,0,4,0,4,1,745,3444,4189
111,2,112,22/04/2011,13.803347,14.707907,0.321954,72.9583,2,0,4,0,5,1,177,1506,1683
112,2,113,23/04/2011,18.86,15.458575,0.450121,88.7917,2,0,4,0,6,0,1462,2574,4036
113,2,114,24/04/2011,23.848347,12.875725,0.551763,81.0833,2,0,4,0,0,0,1710,2481,4191
114,1,115,25/04/2011,24.873347,12.417311,0.5745,77.6667,2,0,4,0,1,1,773,3300,4073
115,1,116,26/04/2011,25.898347,21.8755,0.594083,72.9167,2,0,4,0,2,1,678,3722,4400
116,2,117,27/04/2011,25.42,20.9174,0.575142,83.5417,2,0,4,0,3,1,547,3325,3872
117,2,118,28/04/2011,25.3175,21.500836,0.578929,70.0833,2,0,4,0,4,1,569,3489,4058
118,1,119,29/04/2011,20.91,16.084221,0.497463,45.7083,2,0,4,0,5,1,878,3717,4595
119,1,120,30/04/2011,19.3725,15.750025,0.464021,50.3333,2,0,4,0,6,0,1965,3347,5312
120,2,121,01/05/2011,18.518347,7.125717999999999,0.448204,76.2083,2,0,5,0,0,0,1138,2213,3351
121,2,122,02/05/2011,22.515847,12.291418,0.532833,73.0,2,0,5,0,1,1,847,3554,4401
122,2,123,03/05/2011,25.283347,22.958689,0.582079,69.7083,2,0,5,0,2,1,603,3848,4451
123,2,124,04/05/2011,16.980847,22.042732,0.40465,73.7083,2,0,5,0,3,1,255,2378,2633
124,1,125,05/05/2011,18.825847,19.791264,0.441917,44.4167,2,0,5,0,4,1,614,3819,4433
125,1,126,06/05/2011,19.645847,15.292482000000001,0.474117,59.0,2,0,5,0,5,1,894,3714,4608
126,1,127,07/05/2011,21.32,10.75015,0.512621,54.125,2,0,5,0,6,0,1612,3102,4714
127,1,128,08/05/2011,21.661653,5.0007125,0.518933,63.1667,2,0,5,0,0,0,1401,2932,4333
128,1,129,09/05/2011,21.8325,11.792,0.525246,58.875,2,0,5,0,1,1,664,3698,4362
129,1,130,10/05/2011,21.8325,7.749957000000001,0.522721,48.9167,2,0,5,0,2,1,694,4109,4803
130,1,131,11/05/2011,22.2425,8.083014,0.5284,63.2917,2,0,5,0,3,1,550,3632,4182
131,1,132,12/05/2011,21.935,12.707689,0.523363,74.75,2,0,5,0,4,1,695,4169,4864
132,2,133,13/05/2011,21.0125,12.041575,0.4943,86.3333,2,0,5,0,5,1,692,3413,4105
133,2,134,14/05/2011,21.354153,9.04165,0.500629,92.25,2,0,5,0,6,0,902,2507,3409
134,2,135,15/05/2011,23.0625,10.249592999999999,0.536,86.7083,2,0,5,0,0,0,1582,2971,4553
135,1,136,16/05/2011,23.6775,8.500357000000001,0.550512,78.7917,2,0,5,0,1,1,773,3185,3958
136,2,137,17/05/2011,23.028347,18.582718,0.538529,83.7917,2,0,5,0,2,1,678,3445,4123
137,2,138,18/05/2011,22.55,13.499964000000002,0.527158,87.0,2,0,5,0,3,1,536,3319,3855
138,2,139,19/05/2011,21.764153,7.250271000000001,0.510742,82.9583,2,0,5,0,4,1,735,3840,4575
139,1,140,20/05/2011,22.003347,8.375871,0.529042,71.9583,2,0,5,0,5,1,909,4008,4917
140,1,141,21/05/2011,24.7025,8.08355,0.571975,62.6667,2,0,5,0,6,0,2258,3547,5805
141,1,142,22/05/2011,24.770847,9.916536,0.5745,74.9583,2,0,5,0,0,0,1576,3084,4660
142,2,143,23/05/2011,25.898347,15.667414,0.590296,81.0,2,0,5,0,1,1,836,3438,4274
143,2,144,24/05/2011,27.06,13.875164000000002,0.604813,74.0833,2,0,5,0,2,1,659,3833,4492
144,1,145,25/05/2011,27.094153000000002,10.333611,0.615542,69.625,2,0,5,0,3,1,740,4238,4978
145,1,146,26/05/2011,29.041653000000004,13.376014000000001,0.654688,67.75,2,0,5,0,4,1,758,3919,4677
146,1,147,27/05/2011,27.948347,16.125493,0.637008,65.375,2,0,5,0,5,1,871,3808,4679
147,1,148,28/05/2011,26.889153000000004,15.416164000000002,0.612379,72.9583,2,0,5,0,6,0,2001,2757,4758
148,1,149,29/05/2011,27.3675,14.333846,0.61555,81.875,2,0,5,0,0,0,2355,2433,4788
149,1,150,30/05/2011,30.066653000000002,8.792075,0.671092,68.5,2,0,5,1,1,0,1549,2549,4098
150,1,151,31/05/2011,31.775,7.459042999999999,0.725383,63.6667,2,0,5,0,2,1,673,3309,3982
151,2,152,01/06/2011,31.330847,13.875164000000002,0.720967,67.7083,2,0,6,0,3,1,513,3461,3974
152,1,153,02/06/2011,29.315,19.583229,0.643942,30.5,2,0,6,0,4,1,736,4232,4968
153,1,154,03/06/2011,25.42,16.959107,0.587133,35.4167,2,0,6,0,5,1,898,4414,5312
154,1,155,04/06/2011,26.035,8.250514,0.594696,45.625,2,0,6,0,6,0,1869,3473,5342
155,2,156,05/06/2011,26.581653000000003,9.292364,0.616804,65.25,2,0,6,0,0,0,1685,3221,4906
156,1,157,06/06/2011,27.811653000000003,8.167032,0.621858,60.0,2,0,6,0,1,1,673,3875,4548
157,1,158,07/06/2011,29.0075,12.583136,0.65595,59.7917,2,0,6,0,2,1,763,4070,4833
158,1,159,08/06/2011,31.809153000000002,9.166739,0.727279,62.2083,2,0,6,0,3,1,676,3725,4401
159,2,160,09/06/2011,33.141653000000005,10.042161,0.757579,56.8333,2,0,6,0,4,1,563,3352,3915
160,1,161,10/06/2011,30.955,9.417117999999999,0.703292,60.5,2,0,6,0,5,1,815,3771,4586
161,1,162,11/06/2011,29.725,10.37495,0.678038,65.4583,2,0,6,0,6,0,1729,3237,4966
162,1,163,12/06/2011,28.3925,10.958989,0.643325,74.7917,2,0,6,0,0,0,1467,2993,4460
163,1,164,13/06/2011,26.035,20.45845,0.601654,49.4583,2,0,6,0,1,1,863,4157,5020
164,1,165,14/06/2011,24.770847,18.041960999999997,0.591546,50.7083,2,0,6,0,2,1,727,4164,4891
165,1,166,15/06/2011,25.693347,11.250103999999999,0.587754,47.1667,2,0,6,0,3,1,769,4411,5180
166,2,167,16/06/2011,25.761653,13.833557,0.595346,68.8333,2,0,6,0,4,1,545,3222,3767
167,1,168,17/06/2011,26.615847,9.582942999999998,0.600383,73.5833,2,0,6,0,5,1,863,3981,4844
168,1,169,18/06/2011,28.563346999999997,8.000336,0.643954,67.0417,2,0,6,0,6,0,1807,3312,5119
169,2,170,19/06/2011,28.665846999999996,6.834,0.645846,66.6667,2,0,6,0,0,0,1639,3105,4744
170,2,171,20/06/2011,26.035,10.416825,0.595346,74.625,2,0,6,0,1,1,699,3311,4010
171,2,172,21/06/2011,27.914153000000002,11.458675,0.637646,77.0417,3,0,6,0,2,1,774,4061,4835
172,1,173,22/06/2011,30.066653000000002,11.541554,0.693829,70.75,3,0,6,0,3,1,661,3846,4507
173,2,174,23/06/2011,29.861653000000004,15.999868,0.693833,70.3333,3,0,6,0,4,1,746,4044,4790
174,1,175,24/06/2011,29.690846999999998,14.875675,0.656583,57.3333,3,0,6,0,5,1,969,4022,4991
175,1,176,25/06/2011,28.495,14.041257,0.643313,48.3333,3,0,6,0,6,0,1782,3420,5202
176,1,177,26/06/2011,27.88,6.3337311,0.637629,51.3333,3,0,6,0,0,0,1920,3385,5305
177,2,178,27/06/2011,27.9825,7.2083960000000005,0.637004,65.8333,3,0,6,0,1,1,854,3854,4708
178,1,179,28/06/2011,30.510847,9.666961,0.692558,63.4167,3,0,6,0,2,1,732,3916,4648
179,1,180,29/06/2011,29.861653000000004,17.542007,0.654688,49.7917,3,0,6,0,3,1,848,4377,5225
180,1,181,30/06/2011,28.563346999999997,12.415904,0.637008,43.4167,3,0,6,0,4,1,1027,4488,5515
181,1,182,01/07/2011,29.6225,6.874736,0.652162,39.625,3,0,7,0,5,1,1246,4116,5362
182,1,183,02/07/2011,30.271653000000004,7.709153999999999,0.667308,44.4583,3,0,7,0,6,0,2204,2915,5119
183,2,184,03/07/2011,29.383346999999997,15.333485999999999,0.668575,68.25,3,0,7,0,0,0,2282,2367,4649
